学習データ数,学習時間,秘密分散前の正解率,秘密分散後の正解率,一致率
1000,28.61128568649292,45.73,6.890000000000001,23.98
2000,56.99481010437012,54.24,6.92,13.489999999999998
3000,85.40377020835876,65.12,3.62,3.9899999999999998
4000,113.28492426872253,69.5,8.3,9.06
5000,142.7362141609192,67.30000000000001,3.1199999999999997,2.53
6000,169.57545495033264,65.71000000000001,6.75,6.02
7000,197.7290551662445,64.84,3.32,1.6199999999999999
8000,221.05796790122986,65.41,6.79,6.59
9000,249.46354603767395,65.95,6.59,4.5600000000000005
10000,279,64.95,11.24,11.36
