学習データ数,学習時間,秘密分散前の正解率,秘密分散後の正解率,一致率
1000,623.1929652690887,64.8,64.8,100.0
2000,1221.487715959549,67.39,67.39,100.0
3000,1850.854996919632,69.11,69.11,100.0
4000,2452.7232987880707,71.89999999999999,71.89999999999999,100.0
5000,3066.759567260742,72.68,72.68,100.0
epoch数が3の実行結果
