学習データ数,学習時間,秘密分散前の正解率,秘密分散後の正解率,一致率
1000,205.4817349910736,36.33,36.33,100.0
2000,413.0272719860077,57.85,57.85,100.0
3000,614.6016590595245,71.27,71.27,100.0
4000,809.5888290405273,71.41999999999999,71.41999999999999,100.0
5000,1012.7610800266266,69.08999999999999,69.08999999999999,100.0
epoch数が1の実行結果
