学習データ数,学習時間,秘密分散前の正解率,秘密分散後の正解率,一致率
1000,411.7097022533417,60.940000000000005,60.940000000000005,100.0
2000,820.2515149116516,62.51,62.51,100.0
3000,1226.8772490024567,70.28999999999999,70.28999999999999,100.0
4000,1616.8730728626251,70.8,70.8,100.0
5000,2052.699119091034,73.05,73.05,100.0
epoch数が2の実行結果
